GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
1713027125418,21,253767.296,281837.135,26556292.117,13.000,41.7,-317.619
1713027125418,27,91748.703,367983.949,26556292.117,14.000,40.6,566.426
1713027125418,28,85312.524,369529.139,26556292.117,40.000,31.9,-479.531
1713027125418,32,39642.344,377171.706,26556292.117,11.000,43.6,271.745
1713027125418,6,0.000,0.000,-26559000.000,24.000,34.1,-495.551
1713027125418,5,0.000,0.000,-26559000.000,10.000,43.2,327.863
1713027125418,20,258647.382,277365.360,26556292.117,61.000,27.2,-173.793
1713027125418,19,263448.682,272809.096,26556292.117,46.000,29.3,574.493
1713027125418,21,253767.296,281837.135,26556292.117,21.000,35.8,-722.149
1713027125418,4,0.000,0.000,-26559000.000,53.000,28.6,716.813
1713027125418,60,0.000,0.000,-26559000.000,14.000,39.4,-2.477
1713027125418,43,1786613.200,10132386.960,24485163.442,9.000,44.7,-304.622
1713027125418,42,1431909.638,10188566.485,24485163.442,11.000,42.5,-47.771
1713027125418,39,0.000,0.000,-26559000.000,31.000,32.3,-122.838
1713027125418,34,13235.609,379018.245,26556292.117,9.000,44.3,236.441
1713027125418,33,33053.752,377806.115,26556292.117,17.000,37.8,-482.099
1713027125418,21,253767.296,281837.135,26556292.117,10.000,43.5,418.531
1713027125418,16,0.000,0.000,-26559000.000,40.000,30.7,-183.647
1713027125418,14,0.000,0.000,-26559000.000,7.000,46.6,-310.495
1713027125418,13,0.000,0.000,-26559000.000,46.000,29.3,5.243
1713027125418,12,0.000,0.000,-26559000.000,9.000,44.4,478.239
1713027125418,11,0.000,0.000,-26559000.000,10.000,43.3,-76.709
1713027125418,9,0.000,0.000,-26559000.000,19.000,36.4,-271.109
1713027125418,6,0.000,0.000,-26559000.000,31.000,33.1,-239.771
1713027125418,5,0.000,0.000,-26559000.000,13.000,41.0,-12.348
1713027125418,4,0.000,0.000,-26559000.000,24.000,35.1,-542.155
1713027125418,10,0.000,0.000,-26559000.000,21.000,36.2,-394.083
1713027125418,12,0.000,0.000,-26559000.000,17.000,37.7,-260.346
1713027125418,19,263448.682,272809.096,26556292.117,31.000,32.8,-86.934
1713027125418,24,206553.958,318065.203,26556292.117,12.000,41.3,354.889
1713027125418,33,33053.752,377806.115,26556292.117,13.000,40.4,154.650
1713027125418,3,0.000,0.000,-26559000.000,14.000,27.3,-474.018
1713027125418,8,0.000,0.000,-26559000.000,4.000,39.0,200.329
1713027125418,10,0.000,0.000,-26559000.000,12.000,28.1,385.262
1713027125418,27,91748.703,367983.949,26556292.117,9.000,31.3,566.625
1713027125418,32,39642.344,377171.706,26556292.117,11.000,29.0,271.981
1713027125418,4,0.000,0.000,-26559000.000,27.000,23.2,-541.535
1713027125418,10,0.000,0.000,-26559000.000,5.000,38.5,-393.760
1713027125418,12,0.000,0.000,-26559000.000,8.000,33.5,-260.501
1713027125418,19,263448.682,272809.096,26556292.117,12.000,28.9,-87.189
1713027125418,24,206553.958,318065.203,26556292.117,14.000,28.0,355.230
1713027125418,33,33053.752,377806.115,26556292.117,7.000,35.0,154.549
1713027125418,21,253767.296,281837.135,26556292.117,8.000,31.6,418.447
1713027125418,33,33053.752,377806.115,26556292.117,14.000,27.3,-482.568
1713027125418,34,13235.609,379018.245,26556292.117,11.000,29.1,236.353
1713027125418,39,0.000,0.000,-26559000.000,12.000,27.6,-122.075
1713027125418,42,1431909.638,10188566.485,24485163.442,5.000,36.8,-47.640
1713027125418,43,1786613.200,10132386.960,24485163.442,6.000,36.1,-304.615
1713027125418,21,253767.296,281837.135,26556292.117,4.000,42.8,418.384
1713027125418,33,33053.752,377806.115,26556292.117,7.000,36.0,-482.144
1713027125418,34,13235.609,379018.245,26556292.117,2.000,46.5,236.437
